time(seconds),activatory proteins(h),repressory proteins(i),Q proteins(q),Qc proteins(qc)
7890,4394.333405295775,4394.333405295775,1.5504656070580445E-10,100.02087139511706
7920,4335.693750370084,4335.693750370084,1.2238019176841443E-10,100.02160363241744
7950,4277.646229672905,4277.646229672905,9.650935516017562E-11,100.02232780274028
7980,4220.185128188389,4220.185128188389,7.603910396292812E-11,100.02326683313834
8010,4163.346576597293,4163.346576597293,5.985685022047003E-11,100.02365257530597
8040,4107.150730770685,4107.150730770685,4.707605066342997E-11,100.0244914569473
8070,4051.5570669453227,4051.5570669453227,3.699094925954707E-11,100.02435677069454
8100,3996.488419204822,3996.488419204822,2.9040241530688938E-11,100.02528556525031
8130,3941.892644340392,3941.892644340392,2.2777930590608274E-11,100.02595108877506
8160,3887.8437312868564,3887.8437312868564,1.7849974492163297E-11,100.02659965128964
8190,3834.276011810588,3834.276011810588,1.3975592472427485E-11,100.0270894840075
8220,3781.1308904739976,3781.1308904739976,1.0932315341666548E-11,100.02803567010278
8250,3728.449385786777,3728.449385786777,8.544041846334755E-12,100.02868446243666
8280,3676.1763085389607,3676.1763085389607,6.671505946047603E-12,100.0294863190949
8310,3624.30466134038,3624.30466134038,5.204675802811053E-12,100.03018446665006
8340,3572.796918821735,3572.796918821735,4.056698977864692E-12,100.030464795963
8370,3521.661611276666,3521.661611276666,3.1590840264061685E-12,100.03117082577612
8400,3470.8642143589072,3470.8642143589072,2.4578697675813432E-12,100.03156356708809
8430,3420.3981563717157,3420.3981563717157,1.9105827536813113E-12,100.03264043447149
8460,3370.2521171364,3370.2521171364,1.4838231218609088E-12,100.03295993084402
8490,3320.4203696539357,3320.4203696539357,1.151350916817489E-12,100.03410495243084
8520,3270.8924590437414,3270.8924590437414,8.925706129960355E-13,100.0344064168743
8550,3221.666576296044,3221.666576296044,6.913321486986564E-13,100.03527260785178
8580,3172.5882897387023,3172.5882897387023,5.349832918480759E-13,100.035690708844
8610,3123.839513068102,3123.839513068102,4.136213815919255E-13,100.03662716082526
8640,3075.383369260466,3075.383369260466,3.195030733109412E-13,100.03685406821018
8670,3027.1989525917174,3027.1989525917174,2.465791755546268E-13,100.03820775579881
8700,2979.258199510693,2979.258199510693,1.9012842458627966E-13,100.03841150787585
8730,2931.431364259575,2931.431364259575,1.46469433079686E-13,100.0391412563708
8760,2883.8659416013556,2883.8659416013556,1.1273434588589588E-13,100.03928460552449
8790,2836.540866961988,2836.540866961988,8.669115634860472E-14,100.03996363071744
8820,2789.4703469889528,2789.4703469889528,6.660435711373619E-14,100.04063235157594
8850,2742.58210518091,2742.58210518091,5.112576081115573E-14,100.04176583626334
8880,2695.8049516095757,2695.8049516095757,3.920904149221719E-14,100.04190185210808
8910,2649.2602631789237,2649.2602631789237,3.004290788489653E-14,100.04299976086341
8940,2602.9627439693036,2602.9627439693036,2.2998896868270922E-14,100.04351555570753
8970,2556.8191051261847,2556.8191051261847,1.759062800823082E-14,100.04397883778539
9000,2510.740733302906,2510.740733302906,1.3442033794004304E-14,100.04477879515176
9030,2464.7900217701845,2464.7900217701845,1.026261226232236E-14,100.04523715556108
9060,2419.1089928942597,2419.1089928942597,7.828168383967894E-15,100.04611599143036
9090,2373.685542489491,2373.685542489491,5.965841306154339E-15,100.04652161579648
9120,2328.348695806671,2328.348695806671,4.542474888209668E-15,100.04711976224407
9150,2283.23098519057,2283.23098519057,3.4555937036903926E-15,100.0480124152426
9180,2238.317472590433,2238.317472590433,2.6264075230815684E-15,100.04859931000149
9210,2193.4603493331783,2193.4603493331783,1.9943935199532673E-15,100.04940124308256
9240,2148.8354861657494,2148.8354861657494,1.5131044075957749E-15,100.04997299385418
9270,2104.425041285216,2104.425041285216,1.1469282229372897E-15,100.05075295761917
9300,2060.0950550709085,2060.0950550709085,8.685861194708453E-16,100.05113267210272
9330,2016.0052004188842,2016.0052004188842,6.572019324211182E-16,100.05172668082898
9360,1972.09427248185,1972.09427248185,4.968142920172203E-16,100.0519513631967
9390,1928.3198511826906,1928.3198511826906,3.752309321806847E-16,100.05249184281499
9420,1884.8004171053813,1884.8004171053813,2.8314734015082317E-16,100.0538401500245
9450,1841.404212186814,1841.404212186814,2.1346940671761197E-16,100.05413689124515
9480,1798.0374249173772,1798.0374249173772,1.6079335719459034E-16,100.05490402276058
9510,1755.101351838943,1755.101351838943,1.2100682500169252E-16,100.05565939947716
9540,1712.3277292101395,1712.3277292101395,9.098314240497403E-17,100.0561651282437
9570,1669.8911774940752,1669.8911774940752,6.834729055773277E-17,100.05678320476409
9600,1627.647433828313,1627.647433828313,5.129688306479127E-17,100.05739358281163
9630,1585.703827340495,1585.703827340495,3.8465373640044907E-17,100.05848779476247
9660,1543.9933637834383,1543.9933637834383,2.881762848380977E-17,100.05905634119692
9690,1502.5760234301035,1502.5760234301035,2.1570282129827837E-17,100.05964738257677
